Match,R1,R2,R3,B1,B2,B3
1,617,540,4472,1731,6802,3258
2,539,614,1599,2106,339,9003
3,1086,1522,10224,1262,10257,6326
4,449,404,3373,8592,2998,4505
5,1895,9709,346,10370,9214,2988
6,3361,4286,1731,5804,5724,3258
7,3373,539,2106,6802,1522,2998
8,346,617,6326,449,10370,339
9,4286,614,1895,9214,1599,8592
10,540,2988,404,10224,4472,10257
11,5804,4505,9709,3361,1262,5724
12,8592,1086,10370,9003,346,4286
13,2106,10257,540,617,404,3258
14,1731,5724,449,2998,4472,539
15,2988,5804,6802,614,9214,1086
16,1262,1522,9709,1895,3373,9003
17,1599,3361,339,6326,10224,4505
18,346,2988,2998,4286,539,5804
19,1895,617,449,5724,9709,614
20,10257,9003,4505,9214,339,6802
21,404,8592,6326,4472,2106,1262
22,540,1731,10370,3373,1599,10224
23,1086,3258,9003,1522,3361,1895
24,404,4286,2998,339,10257,346
25,540,10224,1262,9214,2106,449
26,1522,10370,539,617,1086,3361
27,4505,3258,1599,9709,3373,2988
28,614,6326,5804,8592,6802,5724
29,4472,9003,9214,1731,617,1262
30,3373,2998,3361,10257,2988,1086
31,539,6802,10224,10370,3258,4286
32,4505,2106,614,6326,449,9709
33,4472,8592,1895,5724,346,540
34,5804,1731,339,404,1599,1522
35,10257,3361,6802,4286,1262,3373
36,10370,5724,4472,539,9214,6326
37,10224,9709,339,8592,1731,2106
38,9003,540,1599,4505,1086,404
39,2988,449,3258,1522,5804,346
40,6802,614,617,2998,1262,1895
41,10257,9709,539,339,540,1086
42,5724,10224,9214,346,3373,4505
43,617,2998,1599,3361,3258,8592
44,5804,404,2106,6326,1895,10370
45,4286,2988,4472,9003,449,1522
46,1731,10257,3373,346,8592,614
47,3258,1895,9214,1262,339,539
48,9003,6326,3361,540,449,4286
49,9709,1086,6802,404,1731,10224
50,2106,617,1522,2988,4505,5724
51,614,10370,2998,1599,4472,5804
52,539,9003,8592,3258,6326,3373
53,2106,346,1086,9709,4286,617
54,1522,4505,4472,10370,5804,10257
55,449,6802,1262,2988,1599,1731
56,2998,339,5724,3361,9214,540
57,1895,404,10257,10224,614,9003
58,1262,8592,2988,6802,10370,2106
59,6326,5724,1522,9709,2998,540
60,3258,539,346,614,3361,404
61,9214,4505,4286,1086,1895,1731
62,339,3373,617,449,10224,5804
63,4472,346,3361,1599,2106,9709
64,4505,1262,10370,3258,540,614
65,3373,5804,9214,6802,9003,404
66,2998,6326,1731,10224,1895,2988
67,1599,4286,10257,5724,539,617
68,339,1522,8592,1086,4472,449
