scout,match,robot,team,start,show,move,auto_coral_L1_num,auto_coral_L2_num,auto_coral_L3_num,auto_coral_L4_num,robot_reef_removal,robot_algae_picked,robot_net_score,robot_net_miss,proc_score,coral_L1_num,coral_L2_num,coral_L3_num,coral_L4_num,tele_missed,climb_attempt,ending,climb_time,fouls,defense,driver,dead,comments,commentOpen
BH,1,R3,2106,F,FALSE,TRUE,0,0,0,2,FALSE,FALSE,0,0,0,0,0,0,7,2,TRUE,D,FALSE,0,0,3,NA,"1,4",
EC,1,B3,404,M,FALSE,TRUE,0,0,0,0,TRUE,TRUE,0,0,6,0,0,0,0,0,TRUE,P,FALSE,0,0,4,NA,,Only algae
CL,1,B2,10679,F,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,0,5,0,0,0,1,FALSE,No,FALSE,0,0,2,NA,1,
GL,1,B1,7880,C,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,0,TRUE,P,FALSE,0,2,2,NA,,"Felt like smth went wrong, the bot felt unnaturally slow and clunky"
Arman N,1,R1,7770,M,FALSE,TRUE,0,0,0,0,TRUE,FALSE,0,0,0,0,3,1,2,0,FALSE,P,FALSE,0,0,2,NA,BI,
SBS,1,R2,5587,C,FALSE,FALSE,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,0,FALSE,P,FALSE,0,0,1,NA,,
Arman N,2,R1,3714,,TRUE,FALSE,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,0,FALSE,No,FALSE,0,0,0,NA,,
EC,2,B3,1111,C,FALSE,FALSE,0,0,0,0,FALSE,FALSE,0,0,0,0,1,0,0,2,FALSE,P,FALSE,0,0,1,NA,,
BH,2,R3,2421,F,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,0,1,2,0,0,0,TRUE,P,FALSE,0,0,2,NA,,
GL,2,B1,2537,M,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,0,FALSE,P,FALSE,0,2,2,NA,0,"Cage foul in auto, 2(?) pinning fouls"
NL,2,B2,8622,F,FALSE,FALSE,0,0,0,0,TRUE,FALSE,0,0,0,0,2,2,0,2,FALSE,P,FALSE,0,0,2,NA,,
SBS,2,R2,339,C,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,0,0,1,0,0,0,FALSE,P,FALSE,0,0,1,NA,5,
GL,3,B1,10449,,TRUE,FALSE,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,0,FALSE,No,FALSE,0,0,0,NA,,
EC,3,B3,10224,C,FALSE,TRUE,0,0,0,0,TRUE,FALSE,0,0,2,0,1,1,1,0,FALSE,P,FALSE,0,2,3,NA,,
NL,3,B2,449,F,FALSE,FALSE,0,0,0,3,TRUE,FALSE,0,0,0,0,5,5,4,1,FALSE,No,FALSE,0,0,5,ba,,
AY,3,R1,1885,C,TRUE,FALSE,0,0,0,0,TRUE,TRUE,0,5,1,0,0,0,0,0,FALSE,No,FALSE,0,0,3,NA,,
BH,3,R3,2377,M,FALSE,TRUE,1,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,2,FALSE,P,FALSE,0,2,0,NA,,
SBS,3,R2,623,C,FALSE,FALSE,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,0,FALSE,No,FALSE,2,1,1,NA,0,Played defense for 20 secs got two fouls and left
BH,4,R3,1811,F,FALSE,FALSE,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,0,FALSE,No,FALSE,0,0,0,di,,:(
GL,4,B1,4464,F,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,0,FALSE,P,FALSE,4,1,1,NA,"0,3",
SBS,4,R2,2199,M,FALSE,TRUE,0,0,0,1,TRUE,FALSE,2,0,1,0,1,0,4,0,TRUE,P,FALSE,0,0,5,NA,,
EC,4,B3,9403,C,FALSE,TRUE,0,0,0,0,TRUE,FALSE,0,0,0,0,0,0,0,2,FALSE,P,FALSE,0,0,2,NA,2,"Poor scoring ability, almost tipped over"
Rs,4,R1,3793,C,FALSE,FALSE,0,0,0,0,FALSE,FALSE,0,0,0,2,5,0,0,0,FALSE,P,FALSE,0,0,2,NA,,
NL,4,B2,1727,M,FALSE,TRUE,2,0,0,0,TRUE,FALSE,0,0,0,0,0,8,0,3,TRUE,D,FALSE,0,0,3,NA,,
