"","match_number","red1","red2","red3","blue1","blue2","blue3"
"1",1,"frc7770","frc5587","frc2106","frc7886","frc10679","frc404"
"2",2,"frc3714","frc339","frc2421","frc2537","frc8622","frc1111"
"3",3,"frc1885","frc623","frc2377","frc10449","frc449","frc10224"
"4",4,"frc3793","frc2199","frc1811","frc4464","frc1727","frc9403"
"5",5,"frc4541","frc7886","frc888","frc3748","frc2537","frc9709"
"6",6,"frc404","frc1111","frc10224","frc2106","frc7770","frc2421"
"7",7,"frc1811","frc3714","frc10449","frc2199","frc5587","frc4464"
"8",8,"frc4541","frc3748","frc339","frc1727","frc1885","frc3793"
"9",9,"frc9709","frc888","frc623","frc10679","frc8622","frc2377"
"10",10,"frc404","frc2537","frc449","frc9403","frc2421","frc2199"
"11",11,"frc7886","frc5587","frc1111","frc3714","frc4541","frc1885"
"12",12,"frc1811","frc4464","frc10679","frc623","frc3748","frc2106"
"13",13,"frc9403","frc339","frc7770","frc2377","frc449","frc888"
"14",14,"frc10449","frc8622","frc1727","frc10224","frc3793","frc9709"
"15",15,"frc2199","frc2106","frc1885","frc2421","frc404","frc4541"
"16",16,"frc2377","frc9403","frc10679","frc449","frc1111","frc1811"
"17",17,"frc3793","frc888","frc2537","frc10224","frc10449","frc3748"
"18",18,"frc4464","frc623","frc339","frc8622","frc7886","frc7770"
"19",19,"frc5587","frc9709","frc2377","frc404","frc1727","frc3714"
"20",20,"frc1811","frc10449","frc9403","frc1885","frc10679","frc3748"
"21",21,"frc1111","frc2199","frc888","frc8622","frc10224","frc623"
"22",22,"frc7886","frc7770","frc2421","frc3793","frc3714","frc5587"
"23",23,"frc2537","frc4541","frc1727","frc2106","frc4464","frc449"
"24",24,"frc339","frc10679","frc10224","frc9709","frc10449","frc404"
"25",25,"frc888","frc9403","frc3714","frc1111","frc3793","frc623"
"26",26,"frc2537","frc5587","frc8622","frc1727","frc2377","frc7770"
"27",27,"frc7886","frc1811","frc3748","frc449","frc9709","frc339"
"28",28,"frc2106","frc4541","frc2199","frc4464","frc1885","frc2421"
"29",29,"frc7770","frc404","frc3793","frc623","frc2537","frc9403"
"30",30,"frc8622","frc9709","frc3714","frc3748","frc888","frc5587"
"31",31,"frc449","frc10224","frc1885","frc1727","frc2421","frc1811"
"32",32,"frc4541","frc2377","frc4464","frc339","frc1111","frc10449"
"33",33,"frc9709","frc10679","frc2199","frc2106","frc7886","frc3793"
"34",34,"frc2421","frc3748","frc449","frc888","frc10224","frc7770"
"35",35,"frc1111","frc3714","frc1727","frc623","frc404","frc1811"
"36",36,"frc10679","frc4541","frc8622","frc2199","frc339","frc2537"
"37",37,"frc1885","frc10449","frc5587","frc9403","frc7886","frc2106"
"38",38,"frc9709","frc3793","frc4464","frc2377","frc2421","frc404"
"39",39,"frc3714","frc449","frc10224","frc4541","frc623","frc10679"
"40",40,"frc10449","frc2106","frc1727","frc5587","frc888","frc339"
"41",41,"frc4464","frc2537","frc7886","frc8622","frc1811","frc9403"
"42",42,"frc7770","frc1885","frc1111","frc3748","frc2199","frc2377"
"43",43,"frc5587","frc623","frc449","frc339","frc2106","frc9709"
"44",44,"frc888","frc404","frc4464","frc10679","frc3714","frc10449"
"45",45,"frc1727","frc10224","frc2199","frc1111","frc2377","frc7886"
"46",46,"frc3793","frc3748","frc8622","frc1811","frc7770","frc4541"
"47",47,"frc2537","frc2421","frc10449","frc9403","frc1885","frc9709"
"48",48,"frc623","frc2199","frc404","frc339","frc1727","frc7886"
"49",49,"frc10679","frc1111","frc2106","frc449","frc3793","frc8622"
"50",50,"frc10224","frc9403","frc4541","frc3748","frc4464","frc3714"
"51",51,"frc7770","frc2377","frc2537","frc888","frc1811","frc1885"
"52",52,"frc2421","frc9709","frc1111","frc5587","frc1727","frc10679"
"53",53,"frc404","frc9403","frc3748","frc2199","frc449","frc7886"
"54",54,"frc3714","frc7770","frc623","frc1885","frc2106","frc2537"
"55",55,"frc2421","frc8622","frc888","frc10449","frc4464","frc4541"
"56",56,"frc2377","frc339","frc3793","frc10224","frc1811","frc5587"
