scout,match,robot,team,start,show,move,auto_coral_L1_num,auto_coral_L2_num,auto_coral_L3_num,auto_coral_L4_num,robot_reef_removal,robot_algae_picked,robot_net_score,robot_net_miss,proc_score,coral_L1_num,coral_L2_num,coral_L3_num,coral_L4_num,climb_attempt,ending,climb_time,driver,dead,card,
RS,1,B3,3258,,TRUE,FALSE,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,FALSE,No,FALSE,1,,No Card,
SY,1,B1,1731,R3,FALSE,TRUE,0,0,0,1,TRUE,FALSE,0,0,0,0,0,2,7,TRUE,P,FALSE,5,FALSE,No Card,
DK,1,R1,617,R3,FALSE,FALSE,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,FALSE,P,FALSE,3,FALSE,No Card,No swerve; barely moved; coral fell in drive train
AW,1,B3,540,R1,FALSE,FALSE,0,0,0,0,FALSE,FALSE,0,0,0,1,0,0,0,FALSE,No,FALSE,2,TRUE,No Card,
ES,1,R3,4472,R2,FALSE,TRUE,0,0,0,0,TRUE,FALSE,0,0,0,0,0,0,0,TRUE,P,FALSE,1,FALSE,No Card,Cooked don»t pick
FL,1,B2,6802,R2,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,TRUE,P,FALSE,3,FALSE,No Card,"Missed an l4, got coral stuck in bot"
AW,2,R2,614,R2,FALSE,TRUE,1,0,0,0,FALSE,FALSE,0,0,3,3,0,0,0,FALSE,No,FALSE,3,FALSE,No Card,
RS,2,B3,9003,R2,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,2,1,0,0,1,FALSE,No,FALSE,3,FALSE,No Card,Difficulty intaking
AY,2,R3,1599,R3,FALSE,TRUE,0,0,0,0,TRUE,FALSE,0,0,0,1,0,0,3,TRUE,P,FALSE,3,FALSE,No Card,
FL,2,B2,339,R3,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,0,0,2,2,0,FALSE,P,FALSE,3,FALSE,No Card,Slow
DK,2,R1,1599,R3,FALSE,TRUE,0,0,0,0,TRUE,FALSE,0,0,0,0,0,0,3,TRUE,P,FALSE,3,FALSE,No Card,Very wonky; everything wobbled; keep dropping piec
SY,2,B1,2106,R1,FALSE,TRUE,0,0,0,1,TRUE,FALSE,0,0,1,0,1,2,5,TRUE,D,TRUE,5,FALSE,No Card,"Very good and fast cycling, small Coral load issue"
YR,3,B2,10257,R2,FALSE,TRUE,0,0,0,0,TRUE,FALSE,0,0,1,0,0,0,0,FALSE,P,FALSE,2,FALSE,No Card,
AW,3,R2,1522,R3,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,0,0,0,1,2,FALSE,No,FALSE,3,FALSE,No Card,It was rolling up on the algae on the ground
KO,3,R3,10224,R1,FALSE,TRUE,0,0,0,0,TRUE,FALSE,0,0,1,0,0,0,0,FALSE,No,FALSE,2,FALSE,No Card,Coral dropped in processor
RS,3,B3,6326,R3,FALSE,FALSE,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,FALSE,P,FALSE,3,FALSE,No Card,Total defense. Mid ngl
DK,3,R1,1086,R2,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,0,1,1,2,0,FALSE,No,FALSE,3,FALSE,No Card,Missed half their coral shots; kinda slow.
SY,3,B1,1262,R1,FALSE,TRUE,0,0,0,0,TRUE,FALSE,0,0,0,0,0,1,1,FALSE,No,FALSE,3,FALSE,No Card,
DK,4,R1,449,R1,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,0,0,0,1,9,FALSE,No,FALSE,5,FALSE,No Card,
SY,4,B1,8592,R1,FALSE,TRUE,0,0,0,0,TRUE,FALSE,0,0,0,2,3,0,5,TRUE,No,FALSE,4,FALSE,No Card,Shaky when extended
KO,4,R3,3373,R3,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,FALSE,P,FALSE,2,FALSE,No Card,Last 1m parked
AW,4,R2,404,R3,FALSE,TRUE,0,0,0,0,TRUE,TRUE,0,0,3,0,0,0,0,FALSE,P,FALSE,3,FALSE,No Card,Good teammate; helped us get off an algae
RS,4,B3,4505,R3,FALSE,FALSE,0,0,0,0,FALSE,FALSE,0,0,0,1,0,1,2,FALSE,No,FALSE,3,FALSE,No Card,Accuracy issues
FL,4,B2,2998,R2,FALSE,FALSE,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,FALSE,No,FALSE,3,TRUE,No Card,
SY,5,B1,10370,R3,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,0,7,0,0,0,FALSE,P,FALSE,2,FALSE,No Card,"Bad orientation for dispenser, just a trough pumpe"
KO,5,R3,346,R1,FALSE,TRUE,0,0,0,0,TRUE,TRUE,0,0,3,0,0,0,0,FALSE,P,FALSE,3,FALSE,No Card,"Auto failed L4, coral stuck in body teleop"
FL,5,B2,9214,R1,FALSE,FALSE,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,FALSE,No,FALSE,2,FALSE,No Card,"failed to clear algae, couldnt intake coral"
RS,5,B3,2988,R2,FALSE,FALSE,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,FALSE,No,FALSE,1,TRUE,No Card,Never moved.
AW,5,R2,9709,R3,FALSE,FALSE,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,TRUE,P,FALSE,3,FALSE,No Card,Kept stopping and starting
LJ,5,R1,1895,R2,FALSE,TRUE,0,0,0,0,TRUE,FALSE,0,0,0,0,0,0,0,FALSE,P,FALSE,2,FALSE,No Card,Fouls on defense Only attempted L1
AW,6,R2,4286,,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,FALSE,P,FALSE,3,FALSE,No Card,Tried to play defense for a little while
SY,6,B1,5804,R3,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,1,FALSE,P,FALSE,2,FALSE,No Card,awful intake mech. and bad geo
LJ,6,R1,3361,,TRUE,FALSE,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,FALSE,No,FALSE,3,FALSE,No Card,
FL,6,B2,5724,R2,FALSE,TRUE,0,0,0,0,TRUE,TRUE,0,0,1,0,0,1,0,FALSE,P,FALSE,3,FALSE,No Card,
AY,6,B3,3258,R1,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,0,4,0,0,0,FALSE,P,FALSE,2,FALSE,No Card,Kit bot
KO,6,R3,1731,R2,FALSE,TRUE,0,0,0,2,TRUE,FALSE,0,0,0,0,0,0,5,TRUE,D,TRUE,5,FALSE,No Card,
AY,7,B3,2998,R2,FALSE,FALSE,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,FALSE,No,FALSE,2,FALSE,No Card,Barely moved
FL,7,B2,1522,R1,FALSE,TRUE,0,0,0,0,TRUE,FALSE,0,0,1,2,0,2,1,FALSE,P,FALSE,3,FALSE,No Card,
SY,7,B1,6802,R3,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,0,1,0,0,2,TRUE,No,TRUE,3,FALSE,No Card,"Inconsistent L4, but good climb"
LJ,7,R1,3373,R1,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,TRUE,D,FALSE,3,FALSE,No Card,"Parked really early, only attempted L1"
KO,7,R3,2106,R3,FALSE,TRUE,0,1,0,0,TRUE,FALSE,1,1,2,0,1,2,5,TRUE,D,TRUE,5,FALSE,No Card,
AW,7,R2,539,R2,FALSE,TRUE,1,0,0,0,FALSE,FALSE,0,0,0,2,0,3,0,FALSE,P,FALSE,4,FALSE,No Card,
SY,8,B1,449,R3,FALSE,TRUE,1,0,0,0,FALSE,FALSE,0,0,0,0,3,2,5,FALSE,P,FALSE,5,FALSE,No Card,Oliver :)
FL,8,B2,10370,R2,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,0,1,0,0,0,FALSE,P,FALSE,3,FALSE,No Card,
AW,8,R2,617,R3,TRUE,FALSE,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,FALSE,No,FALSE,3,FALSE,No Card,
LJ,8,R1,346,R1,FALSE,TRUE,0,0,0,0,TRUE,FALSE,0,0,1,1,2,2,0,FALSE,P,FALSE,3,FALSE,No Card,Slow intake
RX,8,B3,339,R1,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,0,2,1,0,0,FALSE,P,FALSE,3,FALSE,No Card,
KO,8,R3,6326,R2,FALSE,FALSE,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,FALSE,No,FALSE,4,FALSE,No Card,Defended during all of teleop
AW,9,R2,614,R2,FALSE,TRUE,1,0,0,0,FALSE,FALSE,0,0,1,1,1,0,0,FALSE,P,FALSE,2,FALSE,No Card,"Floppy manipulator, almost tipped over once"
SY,9,B1,9214,R3,FALSE,FALSE,0,0,0,0,TRUE,FALSE,0,0,0,0,0,0,0,FALSE,P,FALSE,1,FALSE,No Card,"Bad intake, strange"
FL,9,B2,1599,R1,FALSE,TRUE,1,0,0,0,TRUE,FALSE,0,0,0,0,0,2,0,TRUE,D,FALSE,3,FALSE,No Card,
Frank,9,B3,8592,R3,FALSE,FALSE,0,0,0,1,TRUE,FALSE,0,0,0,1,0,0,5,TRUE,S,TRUE,5,FALSE,No Card,Very good. Saved teammate and bad depth perception
LJ,9,R1,4286,R1,FALSE,FALSE,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,FALSE,P,FALSE,2,FALSE,No Card,"Defense bot, very wobbly manip and elevator, slow"
Gl,9,R3,1895,R3,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,0,1,0,0,3,TRUE,P,FALSE,3,FALSE,No Card,
AW,10,R2,2988,B1,TRUE,FALSE,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,FALSE,No,FALSE,3,FALSE,No Card,
SY,10,B1,10224,R3,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,0,1,0,0,0,FALSE,No,FALSE,1,FALSE,No Card,
GL,10,R3,404,R2,FALSE,TRUE,0,0,0,0,TRUE,TRUE,0,0,3,0,0,0,0,FALSE,No,FALSE,3,FALSE,No Card,None
