"","event_code","up_to_match","probability"
"1","2025chcmp",20,65
"2","2025chcmp",21,66.6666666666667
"3","2025chcmp",22,68.1818181818182
"4","2025chcmp",23,65.2173913043478
"5","2025chcmp",24,66.6666666666667
"6","2025chcmp",25,64
"7","2025chcmp",26,65.3846153846154
"8","2025chcmp",27,66.6666666666667
"9","2025chcmp",28,67.8571428571429
"10","2025chcmp",29,68.9655172413793
"11","2025chcmp",30,63.3333333333333
"12","2025chcmp",31,64.5161290322581
"13","2025chcmp",32,65.625
"14","2025chcmp",33,63.6363636363636
"15","2025chcmp",34,64.7058823529412
"16","2025chcmp",35,68.5714285714286
"17","2025chcmp",36,66.6666666666667
"18","2025chcmp",37,67.5675675675676
"19","2025chcmp",38,68.421052631579
"20","2025chcmp",39,69.2307692307692
"21","2025chcmp",40,65
"22","2025chcmp",41,68.2926829268293
"23","2025chcmp",42,69.047619047619
"24","2025chcmp",43,67.4418604651163
"25","2025chcmp",44,68.1818181818182
"26","2025chcmp",45,66.6666666666667
"27","2025chcmp",46,67.3913043478261
"28","2025chcmp",47,68.0851063829787
"29","2025chcmp",48,68.75
"30","2025chcmp",49,69.3877551020408
"31","2025chcmp",50,68
"32","2025chcmp",51,68.6274509803922
"33","2025chcmp",52,69.2307692307692
"34","2025chcmp",53,71.6981132075472
"35","2025chcmp",54,70.3703703703704
"36","2025chcmp",55,70.9090909090909
"37","2025chcmp",56,67.8571428571429
"38","2025chcmp",57,70.1754385964912
"39","2025chcmp",58,70.6896551724138
"40","2025chcmp",59,71.1864406779661
"41","2025chcmp",60,70
"42","2025chcmp",61,70.4918032786885
"43","2025chcmp",62,70.9677419354839
"44","2025chcmp",63,69.8412698412698
"45","2025chcmp",64,73.4375
"46","2025chcmp",65,75.3846153846154
"47","2025chcmp",66,77.2727272727273
"48","2025chcmp",67,76.1194029850746
"49","2025chcmp",68,76.4705882352941
"50","2025chcmp",69,76.8115942028985
"51","2025chcmp",70,75.7142857142857
"52","2025chcmp",71,76.056338028169
"53","2025chcmp",72,77.7777777777778
"54","2025chcmp",73,75.3424657534247
"55","2025chcmp",74,77.027027027027
"56","2025chcmp",75,74.6666666666667
"57","2025chcmp",76,76.3157894736842
"58","2025chcmp",77,76.6233766233766
"59","2025chcmp",78,74.3589743589744
"60","2025chcmp",79,74.6835443037975
"61","2025chcmp",80,76.25
"62","2025chcmp",81,76.5432098765432
"63","2025chcmp",82,78.0487804878049
"64","2025chcmp",83,78.3132530120482
"65","2025chcmp",84,78.5714285714286
"66","2025chcmp",85,78.8235294117647
"67","2025chcmp",86,77.906976744186
"68","2025chcmp",87,79.3103448275862
"69","2025chcmp",88,79.5454545454545
"70","2025chcmp",89,79.7752808988764
"71","2025chcmp",90,78.8888888888889
"72","2025chcmp",91,79.1208791208791
"73","2025chcmp",92,79.3478260869565
"74","2025chcmp",93,78.494623655914
"75","2025chcmp",94,79.7872340425532
"76","2025chcmp",95,80
"77","2025chcmp",96,80.2083333333333
"78","2025chcmp",97,79.3814432989691
"79","2025chcmp",98,78.5714285714286
"80","2025chcmp",99,79.7979797979798
"81","2025chcmp",100,80
"82","2025chcmp",101,79.2079207920792
"83","2025chcmp",102,79.4117647058823
"84","2025chcmp",103,79.6116504854369
"85","2025chcmp",104,80.7692307692308
"86","2025chcmp",105,79.047619047619
"87","2025chcmp",106,78.3018867924528
"88","2025chcmp",107,78.5046728971963
"89","2025chcmp",108,79.6296296296296
