match,R1,R2,R3,B1,B2,B3,,
1,1323,2910,4272,294,449,3937,,
2,125,148,6147,624,9072,4499,,
3,2468,2832,1778,188,7426,5468,,
4,3847,868,422,3538,6328,5406,,
5,294,449,3937,125,148,6147,,
6,2468,2412,1778,3538,1388,5406,,
7,2910,1323,4272,624,9072,4499,,
8,188,7426,5468,3847,868,422,,
9,624,6459,4499,3538,1388,5406,,
10,5468,7426,188,294,449,3937,,
11,2910,1323,4272,3847,868,422,,
12,294,449,3937,624,9072,4499,,
13,5535,868,422,294,449,3937,,
14,2910,1323,4272,3847,868,422,,
15,2910,1323,4272,3847,868,422,,
