match,red_score,blue_score,red_predict_score,blue_predict_score
1,170,169,202,180
2,197,129,221,151
3,123,154,176,213
4,223,138,228,173
5,174,149,141,166
6,176,146,207,156
7,209,205,179,175
8,236,170,218,136
9,160,155,211,187
10,206,155,204,157
11,157,146,175,139
12,222,84,200,111
13,279,167,301,137
14,141,213,127,176
15,241,146,248,163
16,156,178,188,150
17,162,137,171,150
18,184,160,201,148
19,172,175,154,172
20,193,177,213,183
21,153,242,149,241
22,216,237,188,238
23,218,229,219,206
24,62,132,91,135
25,210,192,183,200
26,143,114,156,156
27,211,126,164,118
28,193,185,150,205
29,235,152,238,137
30,170,240,183,225
31,175,273,182,245
32,212,174,209,202
33,167,150,177,124
34,164,246,168,207
35,132,234,148,210
36,172,200,222,177
37,169,157,162,199
38,223,206,217,177
39,152,247,137,256
40,166,163,175,186
41,213,191,192,188
42,261,195,293,190
43,154,132,139,193
44,144,176,170,184
45,178,175,208,146
46,245,189,259,140
47,191,160,224,179
48,200,175,212,136
49,150,194,138,178
50,182,163,157,141
51,221,256,188,231
52,241,211,210,171
53,136,166,136,206
54,222,203,209,210
55,207,188,170,219
56,225,167,244,152
57,204,232,208,253
58,154,163,176,159
59,137,134,134,192
60,167,173,156,175
61,106,197,149,205
62,164,195,170,169
63,171,138,185,168
64,196,167,191,226
65,193,209,189,192
66,195,211,170,218
67,114,229,164,235
68,193,162,169,120
69,230,212,228,166
70,118,126,154,176
71,170,138,203,128
72,108,216,166,210
73,280,184,240,166
74,203,57,208,107
75,213,249,209,248
76,187,207,178,191
77,233,223,194,211
78,166,142,176,167
79,187,134,208,186
80,204,172,184,171
81,170,154,188,137
82,145,128,129,119
83,206,223,200,209
84,205,246,187,245
85,221,158,188,151
86,206,277,202,316
87,178,219,158,211
88,242,181,176,190
89,232,150,238,138
90,151,154,161,168
91,224,193,217,198
92,250,135,265,169
93,163,135,183,136
94,210,211,223,216
95,94,162,168,216
96,196,222,177,209
97,168,246,152,246
98,114,112,146,131
99,214,233,206,189
100,188,259,196,213
101,269,210,264,201
102,190,212,186,207
103,204,215,160,167
104,245,237,238,223
105,182,208,212,198
106,248,146,236,190
107,178,154,158,121
108,124,183,107,214
109,137,225,147,217
110,118,178,138,189
111,217,226,200,226
112,193,207,191,192
113,169,237,169,228
114,149,204,213,201
115,235,266,225,266
116,139,172,134,188
117,183,243,157,190
118,193,191,195,197
119,185,225,218,252
120,217,164,160,185
121,92,156,156,163
122,175,169,175,152
123,188,131,216,177
124,138,204,160,211
125,233,180,240,184
