Match,red_score,blue_score,red_predict_score,blue_predict_score,,,,,,,,,,,,,,,,,,
1,275,242,344,230,,,,,,,,,,,,,,,,,,
2,230,238,260,238,,,,,,,,,,,,,,,,,,
3,237,257,252,247,,,,,,,,,,,,,,,,,,
4,223,212,267,253,,,,,,,,,,,,,,,,,,
5,237,226,228,254,,,,,,,,,,,,,,,,,,
6,229,239,236,247,,,,,,,,,,,,,,,,,,
7,295,243,345,241,,,,,,,,,,,,,,,,,,
8,237,242,244,266,,,,,,,,,,,,,,,,,,
9,233,174,226,249,,,,,,,,,,,,,,,,,,
10,203,248,242,229,,,,,,,,,,,,,,,,,,
11,301,219,338,267,,,,,,,,,,,,,,,,,,
12,268,219,234,239,,,,,,,,,,,,,,,,,,
13,261,223,262,235,,,,,,,,,,,,,,,,,,
14,291,250,334,264,,,,,,,,,,,,,,,,,,
15,293,207,332,264,,,,,,,,,,,,,,,,,,
