region,actual,actual01,actual23,expected,expected01,expected23,diff,diff01,diff23,ratio,ratio01,ratio23,size
Afghanistan,0,0,0,0.03,0.015,0.015,-0.03,-0.015,-0.015,0,0,0,1
Alabama,0,0,0,1.23,0.615,0.615,-1.23,-0.615,-0.615,0,0,0,33
Alaska,0,0,0,0.09,0.045,0.045,-0.09,-0.045,-0.045,0,0,0,1
Alberta,0,0,0,1.62,0.81,0.81,-1.62,-0.81,-0.81,0,0,0,53
Argentina,0,0,0,0.01,0.005,0.005,-0.01,-0.005,-0.005,0,0,0,1
Arizona,6,1,5,5.2,2.6,2.6,0.8,-1.6,2.4,1.154,0.385,1.923,99
Arkansas,3,0,3,2,1,1,1,-1,2,1.5,0,3,60
Armenia,0,0,0,0.01,0.005,0.005,-0.01,-0.005,-0.005,0,0,0,1
Australia,5,3,2,4.07,2.035,2.035,0.93,0.965,-0.035,1.229,1.474,0.983,105
Azerbaijan,0,0,0,0.03,0.015,0.015,-0.03,-0.015,-0.015,0,0,0,1
Barbados,0,0,0,0.01,0.005,0.005,-0.01,-0.005,-0.005,0,0,0,1
Belize,0,0,0,0.03,0.015,0.015,-0.03,-0.015,-0.015,0,0,0,1
Bosnia-Herzegovina,0,0,0,0.01,0.005,0.005,-0.01,-0.005,-0.005,0,0,0,1
Brazil,0,0,0,2.11,1.055,1.055,-2.11,-1.055,-1.055,0,0,0,75
British Columbia,1,0,1,1.31,0.655,0.655,-0.31,-0.655,0.345,0.763,0,1.527,46
Bulgaria,0,0,0,0.03,0.015,0.015,-0.03,-0.015,-0.015,0,0,0,1
California,58,40,18,28.29,14.145,14.145,29.71,25.855,3.855,2.05,2.828,1.273,464
Chile,0,0,0,0.16,0.08,0.08,-0.16,-0.08,-0.08,0,0,0,5
China,1,0,1,4.4,2.2,2.2,-3.4,-2.2,-1.2,0.227,0,0.455,165
Chinese Taipei,0,0,0,1.54,0.77,0.77,-1.54,-0.77,-0.77,0,0,0,49
CHS,11,1,10,12.28,6.14,6.14,-1.28,-5.14,3.86,0.896,0.163,1.629,195
Colombia,0,0,0,0.15,0.075,0.075,-0.15,-0.075,-0.075,0,0,0,6
Colorado,3,2,1,3.7,1.85,1.85,-0.7,0.15,-0.85,0.811,1.081,0.541,60
Croatia,0,0,0,0.04,0.02,0.02,-0.04,-0.02,-0.02,0,0,0,1
Cyprus,0,0,0,0.02,0.01,0.01,-0.02,-0.01,-0.01,0,0,0,1
Czech Republic,0,0,0,0.1,0.05,0.05,-0.1,-0.05,-0.05,0,0,0,2
Denmark,0,0,0,0.01,0.005,0.005,-0.01,-0.005,-0.005,0,0,0,1
Dominican Republic,0,0,0,0.28,0.14,0.14,-0.28,-0.14,-0.14,0,0,0,5
Ecuador,0,0,0,0.02,0.01,0.01,-0.02,-0.01,-0.01,0,0,0,1
FiT,26,16,10,16.92,8.46,8.46,9.08,7.54,1.54,1.537,1.891,1.182,362
Florida,4,2,2,7.66,3.83,3.83,-3.66,-1.83,-1.83,0.522,0.522,0.522,162
FMA,15,3,12,12.67,6.335,6.335,2.33,-3.335,5.665,1.184,0.474,1.894,198
France,0,0,0,0.19,0.095,0.095,-0.19,-0.095,-0.095,0,0,0,4
Georgia,7,3,4,7.21,3.605,3.605,-0.21,-0.605,0.395,0.971,0.832,1.11,136
Germany,0,0,0,0.07,0.035,0.035,-0.07,-0.035,-0.035,0,0,0,1
Greece,0,0,0,0.01,0.005,0.005,-0.01,-0.005,-0.005,0,0,0,1
Guam,0,0,0,0.05,0.025,0.025,-0.05,-0.025,-0.025,0,0,0,2
Hawaii,2,2,0,2.6,1.3,1.3,-0.6,0.7,-1.3,0.769,1.538,0,40
Hungary,0,0,0,0.01,0.005,0.005,-0.01,-0.005,-0.005,0,0,0,1
Idaho,3,3,0,1.65,0.825,0.825,1.35,2.175,-0.825,1.818,3.636,0,34
Illinois,9,5,4,5.85,2.925,2.925,3.15,2.075,1.075,1.538,1.709,1.368,88
India,0,0,0,0.24,0.12,0.12,-0.24,-0.12,-0.12,0,0,0,10
Indiana,5,2,3,5.51,2.755,2.755,-0.51,-0.755,0.245,0.907,0.726,1.089,97
Indonesia,0,0,0,0.02,0.01,0.01,-0.02,-0.01,-0.01,0,0,0,1
Iowa,0,0,0,2.07,1.035,1.035,-2.07,-1.035,-1.035,0,0,0,47
Israel,11,8,3,6.25,3.125,3.125,4.75,4.875,-0.125,1.76,2.56,0.96,98
Italy,0,0,0,0.01,0.005,0.005,-0.01,-0.005,-0.005,0,0,0,1
Japan,0,0,0,0.29,0.145,0.145,-0.29,-0.145,-0.145,0,0,0,11
Kansas,0,0,0,2.3,1.15,1.15,-2.3,-1.15,-1.15,0,0,0,33
Kazakhstan,0,0,0,0.02,0.01,0.01,-0.02,-0.01,-0.01,0,0,0,2
Kentucky,0,0,0,1.12,0.56,0.56,-1.12,-0.56,-0.56,0,0,0,20
Kosovo,0,0,0,0.02,0.01,0.01,-0.02,-0.01,-0.01,0,0,0,1
Lesotho,0,0,0,0.01,0.005,0.005,-0.01,-0.005,-0.005,0,0,0,1
Libya,0,0,0,0.02,0.01,0.01,-0.02,-0.01,-0.01,0,0,0,1
Louisiana,1,1,0,3.28,1.64,1.64,-2.28,-0.64,-1.64,0.305,0.61,0,73
Manitoba,0,0,0,0.02,0.01,0.01,-0.02,-0.01,-0.01,0,0,0,2
Mexico,1,0,1,7.1,3.55,3.55,-6.1,-3.55,-2.55,0.141,0,0.282,141
Michigan,47,24,23,46.57,23.285,23.285,0.43,0.715,-0.285,1.009,1.031,0.988,780
Minnesota,9,2,7,20.45,10.225,10.225,-11.45,-8.225,-3.225,0.44,0.196,0.685,270
Mississippi,1,0,1,1.07,0.535,0.535,-0.07,-0.535,0.465,0.935,0,1.869,22
Missouri,8,5,3,7.04,3.52,3.52,0.96,1.48,-0.52,1.136,1.42,0.852,105
Montana,0,0,0,0.18,0.09,0.09,-0.18,-0.09,-0.09,0,0,0,3
Morocco,0,0,0,0.01,0.005,0.005,-0.01,-0.005,-0.005,0,0,0,1
