"team","start_epas","preelim_epas","opr","priored"
"116",17.24,45.76,69.229387746425,46.51205252102
"122",36.74,45.52,46.3789710181842,44.2516887550716
"339",18.94,18.03,10.5993242948753,18.4089248454066
"346",45.94,34.15,13.3405316941718,32.4577801818791
"401",33.27,50.27,65.7920250925379,51.6396691125358
"422",75.11,89.76,101.298505116832,90.4666349006413
"449",58.57,60.05,56.5180752267479,60.5913472254903
"539",28.35,36.07,36.528510016633,39.0778910433072
"540",23.81,43.43,56.677453379861,42.394251149869
"611",28.96,37,39.4710443055751,36.6841256177202
"614",21.23,37.64,47.6619640492748,38.3677274965755
"620",52.52,55.95,60.1864990622196,57.1453791447151
"686",37.26,42.88,43.8538342664672,42.8891064979494
"836",46.84,56.63,63.2193825996201,57.8310561304714
"888",46.03,56.34,65.388179440483,57.2921570688216
"977",39.59,46.08,42.7439031316891,44.9250622361939
"1086",34.19,35.35,25.5914659215357,31.3254617159477
"1111",20.4,27.93,33.2052970989213,28.3154373307473
"1418",42.78,39.54,22.7600899705361,37.1338479547745
"1629",59.47,58.62,51.1247988929846,60.0581950444773
"1727",44.11,54.79,58.6791856757561,53.7195954622475
"1731",48.95,51.19,56.1383880434216,54.3201955547429
"1885",26.73,42.59,73.0774694861425,52.7590468677259
"1895",32.81,37.25,34.2788578735536,35.9894661412513
"1908",33.62,42.61,49.8016778585975,43.1279555620667
"2106",50.45,57.76,71.335602622974,60.8654778145345
"2186",18.96,27.59,26.0709644037056,24.5449158058035
"2199",49.56,56.54,46.9980958914874,53.8345227249734
"2363",35.29,50.35,57.6205765554681,49.752142312991
"2534",43.88,38.04,31.5617691543185,39.2525821124328
"2890",20.53,19.87,14.8692191160798,21.53106296812
"3136",47.55,50.96,52.698452341663,51.8462366292287
"3359",22.6,28.58,31.6806556605643,31.373907049932
"3373",24.8,33.99,35.6653494086971,35.1283212832219
"3748",40.21,47.74,49.7932798330597,48.0268314590362
"3793",24.24,34.69,41.0321605912451,35.8780984207057
"4505",21.79,25.61,19.0365853494929,25.6054579060479
"4541",23.64,42.17,48.4848653973518,40.6620161772131
"4638",26.61,33.78,38.8578052361096,36.4548420364903
"4821",28.35,34.83,36.7648916814402,39.1580777168586
"5115",20.57,32.63,43.8826013609822,33.3715611579648
"5338",43.43,50.1,49.0284684787823,49.8099144794572
"5804",42.82,57.45,62.5498442668414,55.7470757181841
"6213",12.25,20.58,22.9365110130698,18.9895096258896
"6326",18.03,22.27,24.93345437264,22.9464543827879
"6802",37.06,40.57,38.0792043103784,40.259835164578
"6863",19.85,28.69,35.1011157009417,30.0404012700512
"8230",23.1,27.94,22.1548115967532,26.9578298415635
"8590",34.37,42.42,55.5409738569128,45.7443283016997
"8592",56.89,66.02,67.8728397770569,66.855111334539
"8622",14.66,24.52,24.4100050380914,23.6456504440437
"8726",25.36,28.91,31.0750785312522,31.1140567533835
"9072",45.59,57.66,63.1036288852881,57.5676347618876
"10224",26.78,40.47,51.9830349709724,42.1518932933734
