"team","start_epas","preelim_epas","opr","priored"
"108",52.83,60.95,57.8783585374451,59.8294886450366
"125",75.76,79.62,74.7241476780538,78.4336279677637
"148",70.37,76.38,95.5347334026161,85.1929940097764
"188",58.4,69.64,84.6309444585361,75.883956251984
"294",57.97,63.58,71.8298055009297,67.9653108349495
"343",60.85,57.65,44.5975265745993,54.857828394957
"360",56.69,55.13,50.6676384266136,55.8649160554668
"422",92.28,97.11,101.451571870408,100.474334813434
"449",62.46,71.16,78.4064168650785,74.089066064664
"624",60.49,67.31,75.9444026910201,71.070264098987
"868",88.66,87.69,79.7031733971427,85.2121016553867
"930",45.46,54.81,71.4662948238663,61.1617659116514
"948",44.56,45.08,48.7529986735856,49.0364963517145
"1072",62.63,62.34,60.8680615087007,63.7267050568034
"1323",118.87,118.17,117.925788804169,119.201996782822
"1388",57.24,67.89,75.5885199795521,69.5025383065828
"1502",44.25,49.79,50.5918036190535,49.4119449418776
"1710",49.11,54.89,61.1750587651315,58.4745415842284
"1730",55.05,40,23.2541137047493,38.2391968471277
"1778",92.37,95.14,96.7450800467777,95.5914475524604
"1807",58.45,64.98,73.8689908861243,69.2605513276623
"1825",42.03,45.81,47.1489200299709,46.8299699983366
"1880",32.26,37.68,51.6631201569583,43.5610325086136
"2228",63.05,63.21,61.8399149092351,65.1720937261082
"2412",58.42,59.65,63.8493573589306,62.9900100417503
"2429",51.18,54.67,52.4842092825733,53.5416157544287
"2468",62.85,57.54,66.6125168326697,64.3044557659378
"2635",21.1,28.24,44.4714764624548,36.4217067794184
"2832",68.9,71.83,76.4546393765789,74.5846153381447
"2910",115.71,120.03,127.865009064939,123.794061590082
"2974",78.08,77.04,82.0366583832692,81.3733535209835
"3008",30.97,37.38,40.2630694801236,38.9595000071149
"3044",64.59,64.36,60.1936987813157,64.4346817099236
"3538",74.21,79.39,80.6462483991294,80.945363671359
"3655",55.49,60.68,63.9770529456721,61.7436380185623
"3847",61.08,63.28,61.1360183727738,63.0107492509798
"3937",65.66,72.22,71.2842901510557,72.088993298838
"4091",11.72,13.82,12.3695731151069,14.9203804236114
"4272",78.48,78.55,77.5594834741781,78.1902556610379
"4499",73.11,78.45,94.1612955151113,84.5983289357527
"4905",37.66,35.99,39.9267916307499,41.5747449294263
"4909",71.15,67.79,73.7729130366646,71.7612954418289
"5026",62.01,67.97,74.1119553303307,71.04051064415
"5124",25.14,25.5,28.5460320368399,29.2651630453665
"5142",56.22,60.28,59.533563437638,60.6025662545511
"5406",77.94,81.52,81.067032466835,82.1620589009239
"5468",80.32,79.58,71.3973389614215,77.9714505869112
"5472",57.6,52.72,44.5329911241092,49.3020538449526
"5535",63.42,61.59,69.0901003187057,66.6475233849465
"5553",20.01,27.4,37.0671272598463,30.5098573989493
"5843",49.81,52.64,53.4776020106335,53.3636263264645
"6147",60.84,75.95,94.5287777982891,81.1099604724285
"6328",75.44,69.53,66.0625226721876,71.6790592801191
"6431",40.84,43.76,38.4955601428514,42.2377892265568
"6459",52.43,61.52,68.3932616617991,62.864748541067
"6665",32.34,38.65,43.0633099696368,40.2660949910429
"6738",27.49,34.61,35.9990179427966,36.0308395597282
"6940",53.72,59.23,62.5804864129239,60.6613837414992
"6996",34.86,41.44,52.991484202096,47.3287453534557
"7415",26.57,31.38,41.976422263003,35.9324041980972
"7426",65.34,72.67,77.2440254684265,73.8238135143245
"7444",38.73,41.37,43.9109176311421,43.2266584890766
"7531",28.3,30.83,36.9040865186455,34.6117931372036
"7538",17.59,24.78,30.435040744704,27.0119047915079
"7563",49.79,56.06,65.0402103694731,60.5459647325794
"7565",45.78,50.08,58.0610440692938,53.2323427025133
"7617",59.04,66.01,65.7801359021442,65.9763624312697
"8590",46.4,46.47,56.6911205071431,53.6767343490293
"9072",56.76,65.2,79.9398149796164,72.8500700038313
"9085",27.09,36.3,40.9840999994714,37.7363122183995
"9787",29.02,26.34,18.8595350264094,23.5562552521618
"10014",52.03,46.8,38.1517232438242,46.5342871098011
"10077",30.27,28.68,33.3790671760672,32.535463197392
"10428",41.15,38.14,41.7623800727913,43.1437529046321
"10523",57.41,60.07,61.5205253052908,59.8978278057616
