Goal_1,Goal_2,Goal_3,Goal_4,Goal_5,Goal_6,Goal_7,Goal_8,Goal_9,Goal_10,Goal_11,Goal_12,Goal_13,Goal_14,Goal_15,Goal_16
100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
11.111,88.888,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1.234,29.629,69.135,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.137,7.681,46.090,46.090,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.015,1.828,21.338,51.211,25.605,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.001,0.419,8.535,36.986,42.676,11.380,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.094,3.171,22.128,44.257,26.554,3.793,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.021,1.131,11.949,36.880,37.372,11.801,0.842,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.004,0.393,6.064,27.127,41.306,21.636,3.371,0.093,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.001,0.134,2.957,18.440,39.594,30.597,7.805,0.468,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.045,1.404,11.887,34.592,36.996,13.737,1.335,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.015,0.654,7.384,28.344,40.305,20.432,2.862,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.005,0.301,4.466,22.178,40.797,27.119,5.132,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.001,0.137,2.648,16.770,39.123,33.171,8.145,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.062,1.547,12.357,36.020,38.180,11.831,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.028,0.894,8.926,32.134,41.942,16.073,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.012,0.512,6.348,27.969,44.423,20.733,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.005,0.291,4.460,23.870,45.702,25.669,0.000,0.000,0.000,0.000,0.000,0.000,0.000
