scout,match,robot,team,start,show,move,auto_coral_L1_num,auto_coral_L2_num,auto_coral_L3_num,auto_coral_L4_num,robot_reef_removal,robot_algae_picked,robot_net_score,robot_net_miss,proc_score,coral_L1_num,coral_L2_num,coral_L3_num,coral_L4_num,tele_missed,climb_attempt,ending,climb_time,fouls,defense,driver,dead,comments,commentOpen,
RS,1,B3,3258,,TRUE,FALSE,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,,FALSE,No,FALSE,,0,1,,,,
SY,1,B1,1731,R3,FALSE,TRUE,0,0,0,1,TRUE,FALSE,0,0,0,0,0,2,7,,TRUE,P,FALSE,,0,5,,,,
DK,1,R1,617,R3,FALSE,FALSE,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,,FALSE,P,FALSE,,0,3,,,No swerve; barely moved; coral fell in drive train,
AW,1,B3,540,R1,FALSE,FALSE,0,0,0,0,FALSE,FALSE,0,0,0,1,0,0,0,,FALSE,No,FALSE,,0,2,,,,
ES,1,R3,4472,R2,FALSE,TRUE,0,0,0,0,TRUE,FALSE,0,0,0,0,0,0,0,,TRUE,P,FALSE,,0,1,,,Cooked don»t pick,
FL,1,B2,6802,R2,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,,TRUE,P,FALSE,,0,3,,,"Missed an l4, got coral stuck in bot",
AW,2,R2,614,R2,FALSE,TRUE,1,0,0,0,FALSE,FALSE,0,0,3,3,0,0,0,,FALSE,No,FALSE,,0,3,,,,
RS,2,B3,9003,R2,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,2,1,0,0,1,,FALSE,No,FALSE,,0,3,,,Difficulty intaking,
AY,2,R3,1599,R3,FALSE,TRUE,0,0,0,0,TRUE,FALSE,0,0,0,1,0,0,3,,TRUE,P,FALSE,,0,3,,,,
FL,2,B2,339,R3,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,0,0,2,2,0,,FALSE,P,FALSE,,0,3,,,Slow,
DK,2,R1,1599,R3,FALSE,TRUE,0,0,0,0,TRUE,FALSE,0,0,0,0,0,0,3,,TRUE,P,FALSE,,0,3,,,Very wonky; everything wobbled; keep dropping piec,
SY,2,B1,2106,R1,FALSE,TRUE,0,0,0,1,TRUE,FALSE,0,0,1,0,1,2,5,,TRUE,D,TRUE,,0,5,,,"Very good and fast cycling, small Coral load issue",
YR,3,B2,10257,R2,FALSE,TRUE,0,0,0,0,TRUE,FALSE,0,0,1,0,0,0,0,,FALSE,P,FALSE,,0,2,,,,
