scout,match,robot,team,start,show,move,auto_coral_L1_num,auto_coral_L2_num,auto_coral_L3_num,auto_coral_L4_num,robot_reef_removal,robot_algae_picked,robot_net_score,robot_net_miss,proc_score,coral_L1_num,coral_L2_num,coral_L3_num,coral_L4_num,climb_attempt,ending,climb_time,driver,dead,card
sophia,11,R2,485,Far,FALSE,TRUE,0,0,0,0,TRUE,TRUE,6,1,6,7,8,4,12,TRUE,S,FALSE,4,TRUE,No Card
sophia,7,B1,458,Far,FALSE,TRUE,0,2,0,2,TRUE,TRUE,3,2,0,4,2,5,5,TRUE,P,TRUE,4,TRUE,No Card
tinbite,17,B2,482,Close,FALSE,TRUE,1,0,0,2,TRUE,TRUE,1,0,6,20,7,5,12,TRUE,D,FALSE,5,TRUE,No Card
sophia,12,R1,495,Far,FALSE,TRUE,1,2,2,1,TRUE,TRUE,5,1,5,14,11,9,5,TRUE,S,FALSE,5,TRUE,No Card
sophia,9,R3,456,Middle,FALSE,TRUE,0,1,1,2,TRUE,TRUE,5,0,9,13,0,12,2,FALSE,P,TRUE,3,TRUE,No Card
tinbite,3,R3,482,Close,FALSE,TRUE,2,1,2,0,FALSE,FALSE,0,0,0,2,3,12,10,FALSE,D,FALSE,5,TRUE,No Card
gabriel,18,B1,495,Close,FALSE,TRUE,2,1,1,0,TRUE,FALSE,2,1,0,20,9,4,6,TRUE,S,FALSE,5,TRUE,Red
mitchell,16,B1,472,Middle,FALSE,TRUE,0,0,2,2,TRUE,FALSE,3,3,4,6,5,11,4,TRUE,S,TRUE,3,TRUE,No Card
mitchell,9,B2,480,Middle,FALSE,TRUE,0,1,1,2,TRUE,TRUE,8,0,4,19,6,5,10,FALSE,D,FALSE,4,FALSE,Yellow
mitchell,16,B2,480,Middle,FALSE,TRUE,0,0,2,0,FALSE,FALSE,5,2,7,23,6,8,10,TRUE,D,FALSE,1,TRUE,Yellow
tinbite,4,B3,479,Far,FALSE,TRUE,0,2,2,2,FALSE,TRUE,8,0,7,2,5,0,7,TRUE,D,FALSE,4,TRUE,No Card
sophia,7,B1,498,Close,FALSE,TRUE,1,1,1,0,TRUE,FALSE,8,1,9,21,1,3,10,TRUE,D,TRUE,1,TRUE,No Card
tinbite,3,R3,461,Middle,FALSE,TRUE,2,2,0,0,FALSE,FALSE,8,0,5,10,10,5,2,TRUE,S,FALSE,1,TRUE,No Card
mitchell,19,R2,488,Middle,FALSE,TRUE,2,2,0,0,TRUE,FALSE,6,1,1,3,12,7,11,TRUE,No,FALSE,2,TRUE,Yellow
gabriel,13,R3,491,Close,TRUE,TRUE,2,1,0,0,TRUE,FALSE,4,3,9,5,8,12,0,TRUE,No,TRUE,5,TRUE,No Card
tinbite,16,R1,472,Far,FALSE,TRUE,1,2,2,1,FALSE,TRUE,0,2,2,15,2,2,9,TRUE,S,TRUE,4,TRUE,No Card
sophia,18,B1,470,Middle,TRUE,TRUE,0,1,2,0,TRUE,FALSE,0,1,4,9,3,1,9,TRUE,D,FALSE,1,TRUE,No Card
sophia,19,B2,466,Middle,FALSE,TRUE,0,0,2,1,FALSE,TRUE,3,0,7,10,1,3,12,TRUE,P,TRUE,1,TRUE,No Card
tinbite,5,B1,459,Far,FALSE,TRUE,2,0,1,2,FALSE,TRUE,7,2,6,2,6,10,8,TRUE,No,TRUE,3,TRUE,No Card
sophia,9,B1,464,Far,FALSE,FALSE,1,2,0,1,FALSE,TRUE,6,1,9,24,3,11,7,TRUE,P,TRUE,4,TRUE,No Card
gabriel,11,B1,482,Middle,FALSE,TRUE,1,1,0,1,TRUE,FALSE,5,0,7,3,3,3,0,TRUE,S,FALSE,1,TRUE,No Card
sophia,5,B1,476,Middle,TRUE,TRUE,0,0,0,2,FALSE,TRUE,8,2,7,0,5,3,1,TRUE,D,FALSE,3,TRUE,No Card
sophia,3,B1,458,Far,FALSE,TRUE,0,0,2,0,TRUE,TRUE,7,3,6,10,10,0,9,TRUE,S,FALSE,3,TRUE,Yellow
sophia,16,R1,450,Middle,FALSE,TRUE,2,0,0,0,TRUE,FALSE,8,1,7,23,7,8,1,TRUE,S,FALSE,1,TRUE,No Card
mitchell,13,B1,493,Far,FALSE,TRUE,0,1,1,0,TRUE,TRUE,3,1,4,10,7,1,8,TRUE,S,FALSE,1,TRUE,No Card
gabriel,10,R1,489,Far,FALSE,TRUE,0,2,0,0,TRUE,FALSE,7,0,3,23,12,6,4,TRUE,S,FALSE,2,TRUE,No Card
tinbite,18,B1,466,Middle,FALSE,TRUE,0,0,0,1,FALSE,FALSE,9,2,6,19,6,3,2,TRUE,P,TRUE,5,TRUE,No Card
sophia,10,B3,471,Close,FALSE,TRUE,2,1,1,0,TRUE,FALSE,5,2,3,11,7,2,4,TRUE,S,TRUE,1,TRUE,No Card
gabriel,19,B2,486,Close,FALSE,TRUE,1,1,1,2,TRUE,TRUE,8,2,4,1,11,11,10,TRUE,D,FALSE,2,TRUE,No Card
tinbite,17,R2,486,Middle,FALSE,TRUE,2,0,0,0,TRUE,TRUE,3,1,8,19,0,2,3,TRUE,S,TRUE,2,TRUE,No Card
sophia,2,B2,470,Middle,TRUE,FALSE,0,2,1,2,TRUE,FALSE,1,1,9,2,11,7,7,TRUE,D,TRUE,5,TRUE,Yellow
sophia,7,R1,493,Middle,FALSE,FALSE,0,2,2,2,TRUE,FALSE,6,0,9,23,5,12,7,TRUE,P,TRUE,4,TRUE,Yellow
gabriel,9,R3,484,Close,FALSE,TRUE,2,1,1,2,FALSE,TRUE,5,0,1,12,8,6,4,TRUE,S,FALSE,2,TRUE,No Card
tinbite,11,R1,474,Close,FALSE,TRUE,1,2,1,0,FALSE,FALSE,5,3,9,18,11,12,7,TRUE,D,FALSE,3,TRUE,No Card
tinbite,9,R2,462,Middle,FALSE,TRUE,2,0,0,2,TRUE,FALSE,8,1,9,16,5,9,10,TRUE,D,FALSE,3,TRUE,No Card
tinbite,4,R1,464,Close,FALSE,TRUE,2,1,1,0,FALSE,FALSE,6,0,4,20,5,7,5,TRUE,P,FALSE,2,TRUE,No Card
tinbite,4,R3,495,Middle,TRUE,TRUE,2,1,0,0,FALSE,FALSE,8,0,9,17,3,9,1,TRUE,No,FALSE,1,FALSE,Yellow
tinbite,15,B1,478,Middle,FALSE,TRUE,2,0,2,2,FALSE,FALSE,9,0,2,15,5,0,0,TRUE,S,TRUE,3,TRUE,No Card
gabriel,11,B3,468,Far,FALSE,TRUE,1,1,1,1,TRUE,FALSE,2,0,7,8,2,5,12,TRUE,S,FALSE,2,TRUE,Yellow
sophia,20,B2,465,Middle,FALSE,TRUE,2,2,0,2,FALSE,FALSE,9,2,4,2,0,4,11,TRUE,S,FALSE,5,TRUE,No Card
sophia,12,R3,492,Middle,FALSE,FALSE,0,2,0,1,TRUE,FALSE,4,0,0,0,12,0,1,TRUE,No,TRUE,5,TRUE,No Card
tinbite,13,R2,494,Far,FALSE,TRUE,2,0,2,2,TRUE,FALSE,9,2,7,13,11,2,8,TRUE,P,FALSE,4,FALSE,Yellow
sophia,1,R2,481,Far,FALSE,TRUE,2,2,2,2,FALSE,FALSE,8,0,2,3,0,2,11,TRUE,No,TRUE,5,TRUE,No Card
gabriel,10,B2,468,Close,FALSE,TRUE,0,2,0,0,FALSE,FALSE,5,3,3,24,9,1,11,TRUE,D,FALSE,3,TRUE,No Card
mitchell,14,R3,483,Middle,FALSE,TRUE,2,1,2,0,FALSE,FALSE,8,1,4,24,5,9,4,TRUE,P,FALSE,1,TRUE,No Card
sophia,20,B3,469,Middle,TRUE,TRUE,2,1,0,0,FALSE,FALSE,8,0,1,8,8,8,0,FALSE,P,FALSE,5,TRUE,No Card
sophia,5,B3,450,Close,FALSE,TRUE,1,2,0,1,TRUE,TRUE,2,2,0,2,7,8,11,TRUE,S,FALSE,5,TRUE,No Card
sophia,4,B1,449,Close,FALSE,TRUE,0,2,1,2,FALSE,TRUE,5,2,0,7,3,1,9,FALSE,No,TRUE,3,TRUE,No Card
mitchell,20,R3,463,Middle,FALSE,TRUE,1,1,1,2,FALSE,FALSE,7,2,4,4,7,8,8,TRUE,S,TRUE,1,TRUE,No Card
gabriel,13,R3,451,Middle,FALSE,TRUE,1,1,1,2,TRUE,FALSE,7,0,4,4,9,2,8,FALSE,No,FALSE,5,FALSE,No Card
tinbite,14,R1,451,Middle,TRUE,TRUE,2,2,1,1,TRUE,FALSE,1,0,2,12,8,3,0,TRUE,D,TRUE,2,TRUE,Yellow
mitchell,13,R2,484,Close,FALSE,TRUE,0,1,0,1,FALSE,TRUE,4,3,8,14,1,3,7,TRUE,S,FALSE,1,TRUE,No Card
tinbite,7,B3,457,Close,FALSE,TRUE,1,1,0,2,FALSE,FALSE,1,0,5,15,4,7,1,TRUE,D,FALSE,1,TRUE,No Card
tinbite,5,R1,450,Far,FALSE,TRUE,1,1,2,2,FALSE,TRUE,0,0,8,1,8,9,4,TRUE,No,TRUE,3,TRUE,No Card
sophia,9,R3,460,Far,FALSE,TRUE,2,2,0,0,FALSE,TRUE,8,2,7,3,2,9,4,TRUE,P,FALSE,5,TRUE,No Card
mitchell,1,R1,489,Middle,TRUE,TRUE,2,1,0,2,TRUE,FALSE,6,1,2,2,4,7,0,TRUE,S,TRUE,5,TRUE,No Card
gabriel,13,B3,498,Far,FALSE,TRUE,2,2,0,1,TRUE,FALSE,8,3,0,22,1,5,3,FALSE,No,FALSE,3,TRUE,No Card
sophia,20,B2,454,Middle,FALSE,TRUE,0,2,2,0,TRUE,TRUE,1,0,0,20,10,2,2,TRUE,S,FALSE,2,FALSE,No Card
tinbite,7,B2,471,Middle,FALSE,TRUE,0,1,2,2,FALSE,FALSE,1,3,3,24,10,8,11,TRUE,D,FALSE,4,TRUE,No Card
sophia,8,B2,485,Far,FALSE,TRUE,2,1,2,1,TRUE,FALSE,2,3,4,13,0,8,12,TRUE,D,FALSE,2,FALSE,No Card
mitchell,7,B3,463,Middle,FALSE,TRUE,1,0,2,2,TRUE,TRUE,8,2,6,5,12,1,12,TRUE,P,FALSE,5,TRUE,No Card
mitchell,10,R2,487,Middle,FALSE,TRUE,1,2,2,2,TRUE,TRUE,9,0,3,11,9,2,4,TRUE,P,TRUE,2,TRUE,No Card
sophia,6,R2,459,Far,FALSE,TRUE,0,2,1,0,FALSE,TRUE,4,2,5,0,1,12,5,TRUE,S,TRUE,4,TRUE,No Card
gabriel,11,B2,455,Far,TRUE,TRUE,2,0,2,2,TRUE,TRUE,1,3,1,18,8,7,9,TRUE,P,FALSE,5,TRUE,No Card
sophia,1,R3,472,Close,FALSE,TRUE,1,2,1,1,TRUE,TRUE,0,0,5,23,12,7,9,TRUE,No,TRUE,5,TRUE,No Card
mitchell,15,R1,467,Far,FALSE,TRUE,1,2,1,0,FALSE,TRUE,1,0,6,10,9,10,1,TRUE,D,TRUE,3,TRUE,No Card
sophia,18,B1,457,Close,FALSE,TRUE,1,0,2,1,FALSE,FALSE,7,0,2,15,12,6,5,TRUE,S,TRUE,3,TRUE,Yellow
gabriel,20,B1,488,Close,FALSE,TRUE,2,1,0,0,FALSE,TRUE,1,2,6,12,12,1,3,TRUE,No,TRUE,3,TRUE,Yellow
gabriel,6,B3,496,Close,FALSE,TRUE,1,2,0,0,TRUE,TRUE,9,3,9,19,12,12,1,FALSE,No,TRUE,2,TRUE,No Card
tinbite,5,R1,473,Middle,FALSE,TRUE,0,1,2,1,FALSE,TRUE,7,0,8,22,0,8,7,TRUE,No,FALSE,4,TRUE,No Card
tinbite,14,B2,467,Middle,FALSE,TRUE,0,1,0,1,TRUE,FALSE,7,3,9,8,6,8,0,TRUE,S,FALSE,4,TRUE,No Card
gabriel,13,B2,451,Close,FALSE,TRUE,0,2,0,2,TRUE,FALSE,0,2,0,24,12,2,9,TRUE,S,TRUE,5,TRUE,No Card
gabriel,12,R1,488,Close,FALSE,TRUE,0,1,0,1,FALSE,TRUE,1,2,2,13,5,0,7,TRUE,S,FALSE,3,TRUE,No Card
mitchell,8,R2,452,Close,FALSE,TRUE,1,1,1,1,TRUE,FALSE,5,1,7,2,0,9,10,TRUE,S,FALSE,4,TRUE,No Card
sophia,17,R2,449,Close,FALSE,TRUE,1,0,0,2,TRUE,TRUE,1,1,9,15,1,9,11,TRUE,D,TRUE,1,TRUE,No Card
mitchell,14,R2,478,Far,FALSE,TRUE,1,0,2,2,FALSE,FALSE,0,1,3,8,2,6,7,TRUE,D,FALSE,5,TRUE,No Card
tinbite,3,B2,490,Far,FALSE,TRUE,2,1,2,2,FALSE,FALSE,4,1,7,4,9,11,4,TRUE,D,TRUE,4,TRUE,No Card
gabriel,1,R2,498,Far,FALSE,TRUE,0,1,2,0,TRUE,FALSE,5,1,3,14,11,10,12,TRUE,D,TRUE,5,TRUE,No Card
gabriel,11,B2,491,Far,TRUE,TRUE,0,0,1,2,FALSE,TRUE,2,0,1,11,1,4,8,TRUE,S,TRUE,2,TRUE,No Card
sophia,15,B1,474,Middle,FALSE,FALSE,2,2,1,0,TRUE,FALSE,8,1,2,14,4,0,2,TRUE,S,FALSE,5,TRUE,No Card
sophia,16,B3,456,Middle,TRUE,FALSE,0,2,2,0,FALSE,FALSE,6,2,5,22,3,9,11,TRUE,No,TRUE,5,TRUE,No Card
gabriel,2,R2,473,Middle,FALSE,TRUE,2,0,0,0,TRUE,FALSE,9,3,9,19,2,8,5,TRUE,S,TRUE,2,TRUE,No Card
sophia,19,R3,471,Close,TRUE,FALSE,1,2,1,0,TRUE,TRUE,7,1,4,5,9,11,7,TRUE,P,FALSE,5,FALSE,No Card
mitchell,11,R1,490,Close,FALSE,TRUE,0,2,2,2,FALSE,FALSE,3,0,3,10,3,11,7,TRUE,D,TRUE,4,TRUE,No Card
gabriel,5,B2,458,Far,FALSE,TRUE,0,0,1,0,FALSE,FALSE,5,2,4,3,9,3,9,TRUE,P,FALSE,2,TRUE,No Card
mitchell,15,R3,480,Close,FALSE,TRUE,1,2,2,1,TRUE,FALSE,0,0,8,1,7,8,2,TRUE,S,TRUE,1,TRUE,No Card
gabriel,7,R2,456,Close,FALSE,TRUE,1,1,0,1,FALSE,FALSE,7,2,1,0,8,8,10,TRUE,D,TRUE,4,TRUE,No Card
gabriel,13,B3,497,Close,FALSE,TRUE,0,1,1,0,TRUE,FALSE,0,0,1,6,4,11,11,TRUE,S,TRUE,3,TRUE,No Card
mitchell,3,B3,483,Middle,FALSE,TRUE,2,0,2,0,TRUE,FALSE,9,2,1,9,8,0,9,TRUE,No,FALSE,4,TRUE,No Card
gabriel,18,R1,478,Far,FALSE,TRUE,1,2,2,2,FALSE,FALSE,4,1,1,0,6,5,2,TRUE,No,FALSE,1,TRUE,No Card
tinbite,12,B3,469,Middle,FALSE,TRUE,2,0,1,1,FALSE,TRUE,7,2,9,24,8,5,3,TRUE,S,TRUE,4,TRUE,No Card
mitchell,14,B3,484,Middle,TRUE,TRUE,1,2,0,1,FALSE,FALSE,1,1,0,16,12,10,1,TRUE,P,TRUE,3,TRUE,No Card
tinbite,5,R3,486,Middle,FALSE,TRUE,1,2,1,2,FALSE,FALSE,2,0,9,23,4,1,12,TRUE,P,FALSE,5,TRUE,No Card
mitchell,2,B2,493,Far,FALSE,TRUE,2,0,0,0,FALSE,TRUE,6,0,2,17,2,1,8,TRUE,P,FALSE,3,FALSE,No Card
tinbite,5,B3,453,Far,FALSE,TRUE,2,2,1,1,FALSE,FALSE,8,1,9,15,8,5,10,TRUE,D,TRUE,5,TRUE,No Card
sophia,17,B2,496,Middle,TRUE,TRUE,2,1,0,1,FALSE,FALSE,4,1,6,17,7,9,10,TRUE,No,FALSE,4,TRUE,No Card
sophia,4,R1,468,Close,FALSE,FALSE,2,2,0,0,TRUE,TRUE,3,1,0,24,10,6,4,FALSE,P,TRUE,2,TRUE,Red
gabriel,8,R1,477,Close,FALSE,TRUE,1,2,1,1,TRUE,TRUE,9,1,5,1,2,6,1,TRUE,P,TRUE,5,TRUE,No Card
mitchell,12,R3,492,Middle,FALSE,FALSE,0,2,2,0,TRUE,FALSE,0,0,1,12,7,3,7,TRUE,No,FALSE,5,TRUE,No Card
mitchell,15,R3,489,Middle,FALSE,TRUE,0,2,1,0,FALSE,TRUE,1,2,4,17,5,9,4,TRUE,S,TRUE,2,TRUE,Red
sophia,20,B1,479,Far,FALSE,TRUE,2,2,1,0,TRUE,TRUE,0,1,1,21,0,10,5,TRUE,S,FALSE,4,TRUE,Yellow
tinbite,10,R2,497,Middle,FALSE,TRUE,0,1,1,1,TRUE,FALSE,1,3,4,17,7,4,6,TRUE,No,TRUE,4,TRUE,Yellow
gabriel,14,B1,463,Close,FALSE,TRUE,1,2,2,0,FALSE,FALSE,9,2,0,11,10,1,11,TRUE,No,TRUE,5,TRUE,No Card
sophia,16,R3,490,Middle,FALSE,FALSE,0,1,1,0,FALSE,TRUE,6,3,4,11,3,6,11,TRUE,P,FALSE,1,TRUE,No Card
mitchell,3,B2,449,Close,FALSE,TRUE,2,2,1,0,FALSE,FALSE,2,0,4,10,1,6,1,TRUE,S,FALSE,5,TRUE,No Card
sophia,4,B1,482,Middle,FALSE,TRUE,1,1,2,0,FALSE,FALSE,1,3,2,22,3,4,2,TRUE,No,TRUE,3,FALSE,No Card
gabriel,16,B1,452,Close,FALSE,TRUE,1,2,1,1,TRUE,FALSE,1,2,8,14,10,3,0,TRUE,S,TRUE,1,TRUE,Red
tinbite,1,R1,458,Far,FALSE,TRUE,0,2,2,1,TRUE,FALSE,1,0,5,10,7,0,4,TRUE,P,TRUE,5,TRUE,No Card
gabriel,14,R2,469,Far,TRUE,FALSE,0,2,0,1,TRUE,FALSE,0,1,0,24,7,4,10,TRUE,No,TRUE,3,TRUE,No Card
gabriel,14,R1,449,Close,FALSE,FALSE,1,0,2,2,TRUE,TRUE,0,1,8,21,9,1,5,TRUE,S,TRUE,2,TRUE,No Card
mitchell,1,R1,450,Close,FALSE,TRUE,2,1,2,2,FALSE,TRUE,4,3,0,20,7,1,2,TRUE,P,FALSE,3,TRUE,Red
gabriel,9,B3,480,Middle,FALSE,TRUE,2,1,0,0,TRUE,TRUE,3,3,4,22,4,4,1,TRUE,D,FALSE,4,TRUE,No Card
mitchell,17,R1,473,Middle,FALSE,TRUE,0,1,2,1,FALSE,FALSE,0,0,9,11,2,9,10,TRUE,P,FALSE,1,TRUE,No Card
gabriel,18,R1,483,Far,FALSE,TRUE,1,1,1,2,FALSE,TRUE,7,1,5,10,10,6,5,TRUE,D,TRUE,5,TRUE,No Card
tinbite,15,B1,486,Far,FALSE,TRUE,2,1,2,2,TRUE,FALSE,0,1,1,6,12,3,8,TRUE,No,FALSE,2,TRUE,No Card
mitchell,4,R1,479,Close,FALSE,TRUE,1,1,1,2,FALSE,FALSE,5,3,8,5,12,8,10,TRUE,D,TRUE,4,TRUE,No Card
gabriel,10,R2,452,Close,FALSE,FALSE,1,0,1,2,FALSE,FALSE,3,0,4,17,3,6,1,TRUE,D,FALSE,2,TRUE,No Card
tinbite,6,B3,455,Close,FALSE,TRUE,2,2,0,1,FALSE,TRUE,5,3,7,6,7,0,7,TRUE,P,FALSE,1,TRUE,No Card
sophia,1,R1,462,Middle,FALSE,TRUE,2,0,2,1,FALSE,FALSE,8,0,0,13,7,12,1,TRUE,No,TRUE,5,TRUE,Yellow
mitchell,10,R3,459,Middle,FALSE,TRUE,2,0,2,2,TRUE,TRUE,5,2,8,0,7,7,5,TRUE,D,FALSE,3,TRUE,No Card
tinbite,18,B2,494,Middle,FALSE,TRUE,1,2,0,2,FALSE,FALSE,6,1,3,21,2,4,8,TRUE,No,TRUE,5,TRUE,No Card
mitchell,10,R2,483,Far,FALSE,TRUE,0,1,0,1,FALSE,TRUE,7,3,6,11,7,4,11,TRUE,No,TRUE,3,TRUE,Yellow
gabriel,6,B1,491,Middle,FALSE,TRUE,0,1,1,0,FALSE,TRUE,0,0,5,9,5,10,0,TRUE,No,TRUE,3,TRUE,No Card
sophia,20,R2,496,Middle,FALSE,TRUE,2,1,1,0,FALSE,TRUE,3,2,6,24,5,10,8,TRUE,No,TRUE,5,TRUE,No Card
mitchell,9,R2,495,Close,FALSE,TRUE,0,0,1,0,FALSE,FALSE,1,1,1,21,0,6,5,TRUE,D,TRUE,4,TRUE,No Card
tinbite,6,B2,465,Close,FALSE,TRUE,0,1,1,0,TRUE,FALSE,9,0,2,17,7,0,10,TRUE,P,FALSE,1,TRUE,No Card
gabriel,14,R1,487,Close,FALSE,FALSE,1,2,2,2,TRUE,FALSE,7,2,7,15,4,4,7,TRUE,No,TRUE,2,TRUE,No Card
tinbite,2,B1,467,Middle,FALSE,TRUE,1,2,0,0,FALSE,TRUE,4,2,4,16,6,11,6,TRUE,No,TRUE,2,TRUE,No Card
tinbite,4,R2,454,Close,FALSE,FALSE,1,1,1,0,TRUE,TRUE,6,0,3,12,11,1,2,FALSE,S,FALSE,4,TRUE,No Card
sophia,11,B1,464,Far,FALSE,TRUE,1,2,1,1,FALSE,TRUE,9,0,3,5,0,9,6,TRUE,P,TRUE,1,TRUE,No Card
gabriel,3,B3,455,Middle,FALSE,TRUE,1,0,1,2,TRUE,FALSE,6,1,6,8,7,6,2,FALSE,S,FALSE,5,TRUE,No Card
mitchell,16,B3,485,Middle,FALSE,TRUE,1,1,0,0,FALSE,FALSE,5,1,3,0,0,0,12,TRUE,S,FALSE,5,FALSE,No Card
sophia,4,B3,484,Far,TRUE,TRUE,1,1,0,0,FALSE,FALSE,5,1,7,8,3,1,3,TRUE,P,TRUE,5,TRUE,Yellow
tinbite,7,R1,479,Close,FALSE,FALSE,0,0,0,0,TRUE,TRUE,1,0,7,8,11,0,6,FALSE,P,TRUE,4,TRUE,No Card
sophia,14,R3,489,Far,FALSE,TRUE,1,0,1,1,FALSE,TRUE,1,2,7,2,2,10,10,TRUE,P,TRUE,5,TRUE,No Card
mitchell,13,R3,468,Middle,FALSE,TRUE,2,0,0,2,TRUE,FALSE,9,0,0,2,3,9,6,TRUE,S,FALSE,5,TRUE,No Card
sophia,16,B1,465,Close,FALSE,TRUE,2,1,0,2,TRUE,TRUE,9,1,5,18,12,12,6,TRUE,No,TRUE,2,TRUE,No Card
sophia,7,R1,454,Middle,FALSE,TRUE,0,0,2,1,TRUE,FALSE,0,1,1,20,7,9,12,TRUE,D,FALSE,5,TRUE,No Card
mitchell,1,R3,463,Close,FALSE,FALSE,0,2,2,1,TRUE,TRUE,9,2,6,14,9,3,0,TRUE,P,FALSE,5,TRUE,No Card
sophia,4,R1,492,Far,TRUE,TRUE,0,2,0,0,FALSE,FALSE,4,0,0,9,0,0,8,TRUE,No,TRUE,5,TRUE,No Card
gabriel,6,B3,467,Close,FALSE,TRUE,0,0,2,0,FALSE,FALSE,7,3,9,15,10,10,3,TRUE,No,FALSE,1,TRUE,No Card
tinbite,11,R3,481,Middle,FALSE,TRUE,2,2,1,2,FALSE,FALSE,3,3,1,12,4,8,4,TRUE,S,TRUE,2,TRUE,No Card
gabriel,15,R1,476,Far,FALSE,TRUE,1,2,2,1,FALSE,FALSE,9,0,2,5,3,11,0,TRUE,S,TRUE,4,TRUE,No Card
sophia,15,B1,472,Middle,FALSE,FALSE,0,1,2,1,TRUE,FALSE,3,2,0,21,2,5,10,TRUE,D,FALSE,5,TRUE,No Card
sophia,15,R1,460,Close,FALSE,TRUE,0,0,2,2,FALSE,TRUE,2,2,8,5,10,6,9,FALSE,P,FALSE,2,TRUE,No Card
gabriel,15,B3,456,Far,FALSE,TRUE,0,0,2,1,FALSE,FALSE,7,0,8,24,2,0,8,TRUE,No,FALSE,2,TRUE,Yellow
