"","team","OPR","L1 Coral Count","L2 Coral Count","L3 Coral Count","L4 Coral Count","Total Coral Count","Total Coral Points","Total Algae Count","Total Game Piece Count","autoCoralCount","autoMobilityPoints","autoPoints","autoCoralPoints","teleopCoralCount","teleopPoints","teleopCoralPoints","algaePoints","netAlgaeCount","wallAlgaeCount","endGameBargePoints","autoBonusAchieved","coralBonusAchieved","bargeBonusAchieved","coopertitionCriteriaMet","foulCount","techFoulCount","g206Penalty","g410Penalty","g418Penalty","g428Penalty","adjustPoints","foulPoints","rp","totalPoints"
"1","2910",127.87,6.53,6.66,5.77,4.7,26.94,86.6,5.2,32.14,3.69,3.26,26.33,23.06,23.25,100.38,63.54,23.36,3.92,1.28,13.49,0.39,0.76,0.45,0.6,-0.06,0.08,0,0,0,0,0,1.16,3.12,127.87
"2","1323",117.93,6.34,5.9,5.53,4.71,25.7,82.47,4.2,29.9,3.41,2.8,25.32,22.53,22.3,90.66,59.94,17.71,3.74,0.46,13.01,0.25,0.58,0.54,0.29,0.18,0.23,0,0,-0.02,0,0,1.94,2.97,117.93
"3","422",101.45,5.05,5.77,4.03,4.06,21.26,68.57,3.26,24.52,2.3,3.2,19.66,16.46,18.96,80.77,52.1,14.83,2.36,0.9,13.84,0.39,0.54,0.53,0.33,-0.04,-0.23,0,0,-0.03,0,0,1.02,2.89,101.45
"4","1778",96.75,6.44,6.15,5.23,3.93,23.91,76.35,3.92,27.83,2.22,3.37,18.9,15.53,21.69,79.54,60.82,16.58,3.46,0.46,2.14,0.46,0.63,0.01,0.15,-0.13,0.08,0,0,-0.01,0,0,-1.69,2.14,96.75
"5","148",95.53,1.5,5.81,4.48,4.43,17.88,63.85,3.64,21.52,1.6,3.19,14.82,11.63,16.28,79.82,52.22,16.8,2.52,1.12,10.81,0.41,0.5,0.39,0.58,0.33,0.7,0,0,0.1,0,0,0.89,2.71,95.53
"6","6147",94.53,0.92,4.89,4.21,4.97,17.29,62.72,3.69,20.98,2.1,3.04,18.94,15.89,15.19,75.49,46.83,17.28,2.43,1.26,11.38,0.35,0.67,0.49,0.61,0.12,-0.25,0,0,-0.04,0,0,0.1,2.03,94.53
"7","4499",94.16,2.7,3.71,4.71,4.15,18.06,61.93,3.32,21.39,3.06,3.26,23.56,20.3,15,70.11,41.63,14.38,2.78,0.54,14.1,0.43,0.19,0.45,0.23,-0.21,0.25,0,0,-0.03,0,0,0.49,2.23,94.16
"8","188",84.63,1.4,4.1,3.74,3.88,15.73,54.48,4.37,20.1,2.59,2.99,20.66,17.66,13.13,63.13,36.81,19.44,3.4,0.98,6.87,0.31,0.64,0.22,0.4,0.12,0.13,0,0,0.01,0,0,0.84,1.71,84.63
"9","2974",82.04,-0.02,4.43,4.19,4.59,15.92,58.03,2.25,18.17,2.48,3.15,20.97,17.82,13.44,61.67,40.21,13.86,-0.18,2.43,7.59,0.37,0.29,0.26,0.4,-0.05,-0.28,0,0,-0.03,0,0,-0.6,0.9,82.04
"10","5406",81.07,1.31,3.34,4.15,4.18,15.34,55.06,3.07,18.4,2.55,3.23,20.24,17,12.78,62.27,38.06,12.77,2.82,0.25,11.44,0.43,0.28,0.43,0.07,0.13,0.33,0,0,0.06,0,0,-1.44,1.56,81.07
"11","3538",80.65,1.23,4.16,3.62,3.6,14.54,51.47,3.96,18.5,2.11,2.98,16.97,14,12.43,61.29,37.47,16.45,3.67,0.3,7.37,0.32,0.26,0.34,0.19,-0.12,-0.01,0,0,0,0,0,2.38,2.14,80.65
"12","9072",79.94,1.99,4,4.64,4.46,16.41,59.6,2.18,18.6,1.64,3.27,12.8,9.53,14.77,66.75,50.07,9.31,1.9,0.29,7.36,0.41,0.27,0.3,0.08,0.23,-0.2,0,0,-0.03,0,0,0.39,2.43,79.94
"13","868",79.7,4.26,4,3.1,2.45,15.94,49.34,2.91,18.85,2.36,2.73,17.14,14.41,13.58,61.53,34.93,14,1.73,1.18,12.6,0.25,0.33,0.44,0.43,0.35,0.11,0,0,0,0,0,1.04,2.17,79.7
"14","449",78.41,1.26,4.43,4.63,4.72,16.82,60.89,0.49,17.3,1.71,3.14,13.76,10.62,15.1,63.59,50.26,1.49,0.71,-0.23,11.83,0.4,0.07,0.46,-0.21,0.01,0.51,0,0,-0.03,0,0,1.06,2.38,78.41
"15","4272",77.56,2.82,2.47,4.2,4.64,16.14,57.55,1.66,17.8,2.51,3.16,18.71,15.55,13.64,58.48,42,7.27,1.34,0.32,9.21,0.38,0.31,0.27,0.2,-0.11,-0.12,0,0,-0.02,0,0,0.37,2.14,77.56
"16","7426",77.24,1.86,2.46,4.03,4.35,13.65,50.74,3.58,17.23,0.9,2.97,9.19,6.22,12.74,68.44,44.52,14.59,3.46,0.13,9.34,0.29,0.26,0.29,0.09,-0.06,0.22,0,0,-0.02,0,0,-0.39,1.73,77.24
"17","2832",76.45,-0.42,3.4,4.1,3.8,12.72,48.33,3.11,15.83,1.78,2.97,15.43,12.46,10.94,60.55,35.87,14.56,2.06,1.06,10.11,0.33,0.36,0.3,0.4,0.12,0.27,0,0,0,0,0,0.47,2.64,76.45
"18","624",75.94,0.86,3.23,2.9,3.12,9.92,37.83,5.15,15.07,-0.28,2.31,-0.35,-2.67,10.19,75.6,40.49,26.65,2.13,3.02,8.45,0.2,0.53,0.12,0.71,0.15,0,0,0,0.08,0,0,0.7,1.68,75.94
"19","1388",75.59,3,3.44,4.84,4.4,17.01,60.5,0.18,17.19,1.66,3.22,12.94,9.73,15.36,62.58,50.78,1.21,-0.07,0.25,10.6,0.3,0.2,0.3,0,0.2,0.21,0,0,-0.02,0,0,0.06,1.61,75.59
"20","125",74.72,-0.04,1.45,4.34,4.9,13.27,51.75,2.68,15.95,3.01,2.88,22.4,19.52,10.26,51.89,32.23,10.81,2.64,0.04,8.85,0.29,0,0.41,0.04,0.12,-0.11,0,0,-0.05,0,0,0.44,0.87,74.72
