scout,match,robot,team,start,show,move,auto_coral_missed,auto_coral_L1_num,auto_coral_L2_num,auto_coral_L3_num,auto_coral_L4_num,robot_reef_removal,robot_algae_picked,robot_net_score,robot_net_miss,proc_score,coral_L1_num,coral_L2_num,coral_L3_num,coral_L4_num,tele_missed,climb_attempt,ending,climb_time,fouls,defense,driver,dead,comments,commentOpen,,,
AY,1,B1,1640,F,FALSE,TRUE,1,0,0,0,0,FALSE,FALSE,0,0,0,1,0,0,0,1,FALSE,P,FALSE,0,0,1,cs,,Got a algae stuck inside,,,
AK,1,R3,1599,C,FALSE,TRUE,0,0,0,0,0,TRUE,FALSE,0,0,0,0,0,1,4,3,TRUE,P,FALSE,0,0,1,NA,,,,,
GK,1,B3,5587,M,FALSE,TRUE,0,0,0,0,0,TRUE,FALSE,0,0,0,0,0,0,0,0,FALSE,No,FALSE,0,0,2,de,,,,,
NS,1,R1,2199,M,FALSE,TRUE,1,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,7,0,FALSE,No,TRUE,0,0,3,NA,,,,,
LJ,1,B2,888,C,FALSE,TRUE,3,0,0,0,0,FALSE,FALSE,0,0,0,4,0,0,6,1,FALSE,No,FALSE,0,0,3,NA,2,"3 L4 autos, L1 is from missing L4. Long alignment times",,,
HR,1,R1,116,F,FALSE,TRUE,0,0,0,0,0,TRUE,TRUE,9,1,0,0,0,0,0,0,TRUE,D,FALSE,0,0,4,NA,6,,,,
LJ,2,R1,9992,,TRUE,FALSE,0,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,0,FALSE,No,FALSE,0,0,0,NA,,,,,
HR,2,R1,422,C,FALSE,TRUE,0,0,0,0,4,TRUE,TRUE,3,1,0,0,0,1,5,2,TRUE,P,FALSE,0,0,4,NA,,,,,
NS,2,R1,2186,M,FALSE,TRUE,0,0,0,0,0,FALSE,FALSE,0,0,0,0,0,1,0,1,TRUE,D,FALSE,0,4,4,NA,0,,,,
AC,2,B3,1731,F,FALSE,FALSE,0,0,0,0,2,FALSE,FALSE,0,0,0,0,0,1,6,0,TRUE,D,TRUE,0,0,0,NA,,,,,
AY,2,B1,449,F,FALSE,TRUE,1,0,0,0,1,TRUE,FALSE,0,0,0,0,0,0,0,0,TRUE,D,FALSE,0,5,5,NA,,Something happened,,,
