Match,R1,R2,R3,B1,B2,B3
1,116,2199,1599,1640,888,5587
2,422,2186,1895,449,9992,1731
3,5549,1885,6239,5338,5830,8592
4,4638,9033,614,9072,9998,2106
5,1389,686,5243,8230,1915,620
6,1262,888,422,2377,6239,2186
7,5549,449,5338,2199,9072,614
8,8230,1731,2106,1640,620,1599
9,1389,1262,1895,9998,8592,116
10,1915,2377,9992,9033,1885,5243
11,5587,5830,1731,686,4638,888
12,2106,1599,5338,449,1389,2186
13,6239,9033,9998,2199,8230,1885
14,9992,614,5830,116,1262,1915
15,1640,2377,9072,620,8592,686
16,4638,5587,1895,5243,422,5549
17,888,5338,1389,9033,1262,449
18,2186,686,1640,1885,9998,614
19,620,2377,116,2199,4638,6239
20,5830,1599,1915,9072,1895,5549
21,2106,5587,8592,422,9992,8230
22,1731,686,9998,5243,6239,449
23,1895,620,9033,614,2186,1262
24,888,5830,8230,1599,5549,9992
25,422,9072,1885,1389,116,5587
26,8592,1915,2199,5338,1731,4638
27,2377,5243,5830,2106,449,1640
28,686,614,6239,1599,422,1389
29,4638,9072,8230,1885,1895,888
30,9992,2106,620,9998,5338,2199
31,1731,1640,116,1262,5549,2377
32,5587,5243,1915,2186,8592,9033
33,449,2199,422,5830,620,1885
34,9992,1640,4638,6239,1389,9072
35,2186,116,5549,2106,9033,686
36,8592,1731,5243,614,888,1599
37,1895,8230,9998,5338,5587,2377
38,6239,2106,1262,1915,449,1885
