scout,match,robot,team,start,show,move,auto_coral_L1_num,auto_coral_L2_num,auto_coral_L3_num,auto_coral_L4_num,robot_reef_removal,robot_algae_picked,robot_net_score,robot_net_miss,proc_score,coral_L1_num,coral_L2_num,coral_L3_num,coral_L4_num,climb_attempt,ending,climb_time,driver,dead,card,,
ADK,49,B3,10224,R1,FALSE,TRUE,0,0,0,0,TRUE,FALSE,0,0,2,0,1,0,0,FALSE,P,FALSE,2,FALSE,No Card,,
Frank,49,B2,1731,R3,FALSE,TRUE,0,0,0,3,FALSE,FALSE,0,0,0,0,3,5,2,TRUE,D,TRUE,5,FALSE,No Card,Literally crazy game tf. GOATED auto,
FL,49,B1,404,R2,FALSE,TRUE,0,0,0,0,TRUE,TRUE,0,0,5,0,0,0,0,FALSE,P,FALSE,3,FALSE,No Card,Scored in opponents processor,
JY,49,AW,50,R2,1086,R2,FALSE,FALSE,0,0,0,0,TRUE,FALSE,0,0,1,0,2,3,0,FALSE,No,FALSE,3,FALSE,No Card
AW,49,R2,1086,R2,FALSE,FALSE,0,0,0,0,TRUE,FALSE,0,0,1,0,2,3,0,FALSE,No,FALSE,3,FALSE,No Card,Na,
DK,49,R1,9709,R1,FALSE,TRUE,0,0,0,0,0,0,0,0,0,0,1,0,0,No,FALSE,2,FALSE,No Card,Stopped at human player station; wobbly robot,,
FL,50,B1,2988,R3,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,FALSE,P,FALSE,2,FALSE,No Card,,
Frank,50,B2,4505,R2,FALSE,TRUE,1,0,0,0,FALSE,FALSE,0,0,0,1,0,1,2,FALSE,No,FALSE,3,FALSE,No Card,Slow. Too high elevator bad consistency,
AW,50,R2,617,,FALSE,FALSE,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,FALSE,No,FALSE,3,TRUE,No Card,Didn퍁 move,
JY,50,R3,1522,R3,FALSE,FALSE,0,0,0,0,TRUE,FALSE,0,0,1,0,0,3,0,TRUE,P,FALSE,3,FALSE,No Card,"score + remove algae, mid intake, slow elev",
ADK,50,B3,5724,R1,FALSE,TRUE,0,0,0,0,TRUE,TRUE,0,0,3,0,1,0,0,FALSE,P,FALSE,2,FALSE,No Card,Ground intake is very slow,
AW,51,R2,10370,R1,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,0,1,0,0,0,FALSE,P,FALSE,2,FALSE,No Card,Defense: 2,
FL,51,B1,1599,R3,FALSE,FALSE,0,0,0,0,TRUE,FALSE,0,0,0,0,1,3,0,TRUE,D,FALSE,2,FALSE,No Card,,
ADK,51,B3,5804,R1,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,0,0,0,3,0,FALSE,P,FALSE,2,FALSE,No Card,Seemed to have drive issues ,
Frank,51,B2,4472,R2,FALSE,TRUE,0,0,0,0,TRUE,FALSE,0,0,2,1,2,0,0,FALSE,P,FALSE,3,FALSE,No Card,Decent. Slow but also processor eh�,
JY,51,R3,2998,R3,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,0,11,0,0,0,FALSE,No,FALSE,4,FALSE,No Card,"kitbot w swerve, L1 only but decent cycling",
DK,51,R1,614,R2,FALSE,TRUE,1,0,0,0,3,0,0,0,0,5,0,0,0,P,FALSE,3,FALSE,No Card,Sketch algae intake; okay at L1,,
FL,52,B1,3258,R3,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,0,5,0,0,0,FALSE,P,FALSE,3,FALSE,No Card,"Tank drive, kit bot",
AW,52,R2,9003,R1,FALSE,TRUE,0,0,0,0,TRUE,FALSE,0,0,0,2,3,1,1,FALSE,P,FALSE,4,FALSE,No Card,Na,
Frank,52,B2,6326,R1,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,FALSE,No,FALSE,1,FALSE,No Card,"Def 1. Got stuck on ball, got a foul, failed smh.",
